pipeline,cluster_id,entity_id,attribute,predicted_value,gold_value,correct
llm_assisted,c0,1001446,description,"use the lightning digital av adapter with your iphone, ipad or ipod with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen to your hdmi-equipped tv, display, projector or other compatible d","use the lightning digital av adapter with your iphone, ipad, or ipod with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen - including apps, presentations, websites, slideshows, and more - to your hdmi-equipped tv, display, projector, or other compatible display in up to 1080p hd. it also outputs video content - movies, tv shows, captured video - to your big screen in up to 1080p hd.",0
llm_assisted,c0,1001446,price,75.00,99.99,0
llm_assisted,c1,107440,title,shimano cn-hg95 10-speed hg-x chain - 116 links,bicycle-chain-cn-hg95-super-narrow-hg-for-mtb-10-speed-116-links-w/o-end-pin-w/ampoule-type-connect-pin-x1,0
llm_assisted,c1,107440,description,"the bb-mt800-pa bottom bracket by shimano - pressfit for xt and slx cranksthe shimano bb-mt800-pa is a bottom bracket for press-fit mounting in frames with 89 to 92 mm shell widths and 41 mm bottom bracket diameter. it is recommended for xt, slx and groupless hollowtech ii cranks with 24 mm axle diameters. the bearing cups are made of resin.specificationsapplication: cross country, all mountain, city & touringtype: pressfit bb92shell diameter: 41 mmshell width: 89.5-92 mmaxle diameter: 24 mm (hollowtech ii)technical information:bearings: steelbottom bracket cup material: resinbottom bracket centre tube material: resinfeatures:- recommended for xt fc-m8100, fc-m8120, fc-m8130, fc-m8000, fc-t8000, slx fc-m7100, fc-m7120, fc-m7130, fc-m7000, fc-mt700, fc-mt610, fc-mt600technology:hollowtech iithe externally mounted bottom bracket offers better weight distribution and stability for more efficient power transmission. the diameter of the bottom bracket axle and the bearing (24 mm) was an important factor in the development, as the bottom bracket axle has a significant impact on stiffness, stability, weight and rotational efficiency.manufacturer part number:i-bbmt800pacontents:- 1 x shimano bb-mt800-pa right bearing cup, incl. bearings- 1 x shimano bb-mt800-pa left bearing cup, incl. bearings- 1 x shimano centre tube- 1 x 2.5 mm spacersweight: 68.2gfaqwhat type is shimano xt press fit mtb bottom bracket? the shimano xt press fit mtb bottom bracket is a press-fit type.what width shell is suitable for the shimano xt press fit mtb bottom bracket?the shimano xt press fit mtb bottom bracket is available in 89.5 mm and 92mm shell width standard.what diameter crank diameter is shimano xt press fit mtb bottom bracket compatible with?the shimano xt press fit mtb bottom bracket is compatible with 24 mm crank diameter standard.","shimano chain xt cn-hg95 10-speednew hg-x chains - efficient, quieter, less maintenance with new surface treatment.the all-new, directional 10-speed hg-x chain specifically for mountain bikes is the next evolutionary step in shifting technology. this chain stays smooth, saves weight and improves overall system performance. hg-x chain with directional design: the right side is optimized for switching the front, the left for rear. for use with: xtr / deore xt / slxxt cn-hg95 chain 10-speed 116 links use: mtb series: xt dyna-sys type: hg-x 10-speed super narrow inner plate: zinc-aluminum coated outer plate: zinc-aluminum coated chrome rivets: yes perforated tabs: yes note: the hg-x chain is not compatible with other, designed for road bikes 10-speed circuits.",0
llm_assisted,c1,107440,price,29.99,59.99,0
llm_assisted,c1,107440,priceCurrency,gbp,usd,0
llm_assisted,c10,1086172,title,jabra biz 2300 duo usb ms lync headset,jabra biz 2300 duo usb ms lync skype for business,0
llm_assisted,c10,1086172,description,"your contact center agents are your brand ambassadors, so give them the tool to sound as clear as your brand. in jabra’s biz™ 2300 world class sound meets world class durability in an exceptionally comfortable and stylish corded headset – keeping both your agents and your customers happy.jabra biz™ 2300 usb microsoft lync duo is a stereo headset that provides usb connectivity optimized for microsoft lync.","jabra biz2300 2399-823-109 duo usb headset ms:corded stereo headset that provides connectivity certified for skype for businessair shock microphone360 swiveling boom armbiz2300 has high-definition sound with hd voice and get crystal clear, intelligible communicationkevlar® reinforced cordnoise canceling microphonepeakstop technology immediately removes potentially harmful loud soundsclear sound is essential for a good conversation not to mention call efficiency and accuracycontrol unit call-managementjabra software applications, customize and control your audio device settings with jabra’s software applicationsbiz2300 datasheetbiz2300 quick start guide",0
llm_assisted,c10,1086172,price,149.00,168,0
llm_assisted,c100,248547,title,intel i9 9900 3.1ghz 8 core cpu | discount computer needs,intel core i9-9900 desktop processor 8 cores up to 5.0ghz lga1151 300 series 65w,0
llm_assisted,c100,248547,description,"view and shop for intel i9 9900 3.1ghz 8 core cpu, cpus processors, and many more products at discount computer needs.",product collection9th generation intel® core™ i9 processorscode nameproducts formerly coffee lakevertical segmentdesktopprocessor numberi9-9900off roadmapnostatuslaunchedlaunch dateq2'19lithography14 nmuse conditionspc/client/tablet,0
llm_assisted,c100,248547,price,718.95,32299.00,0
llm_assisted,c100,248547,priceCurrency,aud,eur,0
llm_assisted,c101,2490160,title,pokemon sword & shield rebel clash booster,the pokemon company pokemon tcg: sword & shield - rebel clash booster pack,0
llm_assisted,c101,2490160,description,pokémon tcg: sword & shield—rebel clash booster,"rock out with new pokémon! crank it loud and blast the beat—you’ll find rebellion, chaos, and punk attitude galore in the pokémon tcg: sword & shield—rebel clash expansion, loaded with pokémon v including toxtricity v, dubwool v, boltund v, sandaconda v, and more! you’ll also find a handful of pokémon vmax, including the final evolutions of all three first partners, plus copperajah vmax and dragapult vmax. take to the stage and the streets with the sword & shield—rebel clash expansion!",0
llm_assisted,c101,2490160,price,4.5,3.99,0
llm_assisted,c101,2490160,priceCurrency,eur,usd,0
llm_assisted,c102,2507918,brand,,shimano,0
llm_assisted,c102,2507918,description,shimano metal disk fren balatası ice-tech j04cuyumlu modeller:xtr:- br-m9000- br-m9020- br-m987- br-m985xt:- br-m8000- br-m785slx:- br-m675- br-m666deore:- br-m615alfine:- br-s700rennrad:- br-rs785- br-r785,"always use shimano disc brake pads to ensure top brake performance and to maintain the safety of your shimano brake system. shimano has adopted ice-technologies into their disc brake pad range to provide the cooling technology required for consistent performance. the metal pads have ""high"" stopping power and the resin pads have an ""above average"" stopping power.radiator fin provides long pad life and less fade by cooling technologymetallic compoundmetal pads consistently perform well in dry or wet conditions and have excellent power and durability.compatibility: br-m9000, br-m785, br-r785, br-m9020, br-m675, br-m987, br-m666, br-m985, br-m615, br-rs785, br-s700",0
llm_assisted,c102,2507918,priceCurrency,try,usd,0
