cluster_id,pipeline,n_records,record_ids,title,brand,description,price,priceCurrency
c0,llm_assisted_initial,46,"[""r0"", ""r1"", ""r2"", ""r3"", ""r4"", ""r5"", ""r66"", ""r67"", ""r68"", ""r69"", ""r70"", ""r71"", ""r132"", ""r133"", ""r134"", ""r135"", ""r136"", ""r137"", ""r390"", ""r391"", ""r392"", ""r393"", ""r394"", ""r570"", ""r571"", ""r572"", ""r573"", ""r574"", ""r575"", ""r822"", ""r823"", ""r824"", ""r825"", ""r826"", ""r827"", ""r1272"", ""r1273"", ""r1275"", ""r1276"", ""r1277"", ""r1374"", ""r1375"", ""r1376"", ""r1377"", ""r1378"", ""r1379""]",apple airpod pro wireless bluetooth ipx4 in-ear headphones with wireless charging case - white,apple,"summary:- designed by apple- automatically on, automatically connected- easy setup for all your apple devices6- quick access to siri by saying “hey siri” or setting up double-tap- double-tap to play or skip forward- charges quickly in the case- case can be charged with a lightning connector- rich, high-quality audio and voice- seamless switching between devicesmore magical than ever.the new airpods deliver the wireless headphone experience, reimagined. just pull them out of the charging case and they’re ready to use with your iphone, apple watch, ipad, or mac.after a simple one-tap setup, airpods work like magic. they’re automatically on and always connected. airpods can even sense when they’re in your ears and pause when you take them out.to adjust the volume, change the song, make a call, or even get directions, simply say “hey siri” and make your request. you have the freedom to wear one or both airpods, and you can play or skip forward with a double-tap when listening to music or podcasts.airpods deliver 5 hours of listening time1 and 3 hours of talk time on a single charge.2 and they’re made to keep up with you, thanks to a charging case that holds multiple charges for more than 24 hours of listening time.3 need a quick charge? just 15 minutes in the case gives you 3 hours of listening time4 or 2 hours of talk time.5powered by the all-new apple h1 headphone chip, airpods use optical sensors and motion accelerometers to detect when they’re in your ears. whether you’re using both airpods or just one, the h1 chip automatically routes the audio and engages the microphone. and when you’re on a call or talking to siri, an additional speech-detecting accelerometer works with beamforming microphones to filter out external noise and focus on the sound of your voice.what's in the box: - airpods- charging case- lightning to usb cable",79.00,usd
c1,llm_assisted_initial,111,"[""r6"", ""r30"", ""r31"", ""r32"", ""r33"", ""r34"", ""r35"", ""r60"", ""r61"", ""r63"", ""r64"", ""r65"", ""r72"", ""r73"", ""r74"", ""r75"", ""r76"", ""r77"", ""r174"", ""r175"", ""r176"", ""r178"", ""r179"", ""r294"", ""r295"", ""r296"", ""r297"", ""r298"", ""r299"", ""r354"", ""r355"", ""r356"", ""r357"", ""r358"", ""r359"", ""r408"", ""r409"", ""r410"", ""r411"", ""r412"", ""r413"", ""r517"", ""r518"", ""r520"", ""r521"", ""r582"", ""r583"", ""r584"", ""r585"", ""r586"", ""r587"", ""r630"", ""r631"", ""r632"", ""r633"", ""r634"", ""r720"", ""r721"", ""r722"", ""r723"", ""r724"", ""r960"", ""r961"", ""r963"", ""r964"", ""r965"", ""r1008"", ""r1009"", ""r1010"", ""r1011"", ""r1012"", ""r1013"", ""r1062"", ""r1063"", ""r1064"", ""r1066"", ""r1067"", ""r1158"", ""r1159"", ""r1160"", ""r1161"", ""r1162"", ""r1163"", ""r1254"", ""r1255"", ""r1257"", ""r1258"", ""r1259"", ""r1362"", ""r1364"", ""r1365"", ""r1366"", ""r1367"", ""r1470"", ""r1471"", ""r1472"", ""r1473"", ""r1474"", ""r1475"", ""r1608"", ""r1609"", ""r1610"", ""r1611"", ""r1612"", ""r1613"", ""r1758"", ""r1759"", ""r1760"", ""r1761"", ""r1762"", ""r1763""]",bicycle-chain-cn-hg95-super-narrow-hg-for-mtb-10-speed-116-links-w/o-end-pin-w/ampoule-type-connect-pin-x1,shimano,"the bb-mt800-pa bottom bracket by shimano - pressfit for xt and slx cranksthe shimano bb-mt800-pa is a bottom bracket for press-fit mounting in frames with 89 to 92 mm shell widths and 41 mm bottom bracket diameter. it is recommended for xt, slx and groupless hollowtech ii cranks with 24 mm axle diameters. the bearing cups are made of resin.specificationsapplication: cross country, all mountain, city & touringtype: pressfit bb92shell diameter: 41 mmshell width: 89.5-92 mmaxle diameter: 24 mm (hollowtech ii)technical information:bearings: steelbottom bracket cup material: resinbottom bracket centre tube material: resinfeatures:- recommended for xt fc-m8100, fc-m8120, fc-m8130, fc-m8000, fc-t8000, slx fc-m7100, fc-m7120, fc-m7130, fc-m7000, fc-mt700, fc-mt610, fc-mt600technology:hollowtech iithe externally mounted bottom bracket offers better weight distribution and stability for more efficient power transmission. the diameter of the bottom bracket axle and the bearing (24 mm) was an important factor in the development, as the bottom bracket axle has a significant impact on stiffness, stability, weight and rotational efficiency.manufacturer part number:i-bbmt800pacontents:- 1 x shimano bb-mt800-pa right bearing cup, incl. bearings- 1 x shimano bb-mt800-pa left bearing cup, incl. bearings- 1 x shimano centre tube- 1 x 2.5 mm spacersweight: 68.2gfaqwhat type is shimano xt press fit mtb bottom bracket? the shimano xt press fit mtb bottom bracket is a press-fit type.what width shell is suitable for the shimano xt press fit mtb bottom bracket?the shimano xt press fit mtb bottom bracket is available in 89.5 mm and 92mm shell width standard.what diameter crank diameter is shimano xt press fit mtb bottom bracket compatible with?the shimano xt press fit mtb bottom bracket is compatible with 24 mm crank diameter standard.",42.00,usd
c10,llm_assisted_initial,36,"[""r42"", ""r43"", ""r44"", ""r45"", ""r46"", ""r47"", ""r318"", ""r319"", ""r320"", ""r321"", ""r322"", ""r323"", ""r498"", ""r499"", ""r500"", ""r501"", ""r502"", ""r503"", ""r648"", ""r649"", ""r650"", ""r651"", ""r652"", ""r653"", ""r990"", ""r991"", ""r992"", ""r993"", ""r994"", ""r995"", ""r1152"", ""r1153"", ""r1154"", ""r1155"", ""r1156"", ""r1157""]","jabra biz„˘ 2400 ii duonext generation - ip wideband-headset (qd) type: 82 e-std, noice-cancelling microphone boom: freespin",jabra,"jabra evolve 75 headset uc stereo 7599-838-109(2 years local warranty in singapore)jabra evolve 75 engineered to free your concentration. the best wireless headset for concentration in the open office✅ works with all uc platforms – certified for skype for business, cisco and more ✅first certified skype for business headset meeting open office & outdoor requirements ✅easy charging and docking comes with an optional charging stand to eliminate battery concerns ✅all-day comfort leather feel ear cushions and an on-the-ear wearing style for all-day comfortcompatible with your platformall jabra usb headsets and speakerphones work with all the most popular online voice call services.our products work out of the box* and allow you to combine perfect sound quality with great comfort.specificationsspecifications are provided by the manufacturer. refer to the manufacturer for additional explanations.basicbrand name:jabraconnectivity technology:wirelessdriver size:4 cmearpiece design:over-the-headearpiece type:binauralform factor:circumauralmaximum frequency response:20 khzmicrophone design:boomminimum frequency response:20 hznoise canceling:yesproduct family:evolveproduct type:headsetsound mode:stereowireless operating distance:3048 cmwireless technology:bluetoothearpiecedriver size:4 cmearpiece design:over-the-headearpiece type:binauralgeneral informationbrand name:jabramanufacturer website address:http://www.jabra.commanufacturer:gn netcom a/sproduct line:evolveproduct model:75 msproduct name:evolve 75 headset uc stereoproduct type:headsetmicrophonemicrophone design:boomphysical characteristicsform factor:circumauralweight (approximate):177 gtechnical informationconnectivity technology:wirelessmaximum frequency response:20 khzminimum frequency response:20 hznoise canceling:yessound mode:stereowireless operating distance:3048 cmwireless technology:bluetoothdownload jabra evolve 75 headset uc stereo (7599-838-109) technical specificationdownload jabra evolve 75 headset uc stereo (7599-838-109) datasheetsimilar brand and models of noise cancellation bluetooth wireless headphoneslogitech zone wireless headset (981-000799)jabra evolve 65 uc stereo professional wireless headset with usb adaptor6599829409jabra evolve 65 ms stereo professional wireless headset with usb adaptor 6599823309jabra evolve 75 headset uc stereo 7599-838-109jabra evolve 75 headset ms stereo 7599-832-109jabra evolve 75 headset ms stereo with charging stand 7599-832-199jabra evolve 75 headset uc stereo with charging stand 7599-838-199jabra engage 75 mono wireless noise cancelling headset with charging base 9556-583-117jabra engage 75 stereo wireless noise cancelling headset with charging base 9559-583-117lenovo thinkpad x1 active noise cancellation bluetooth wireless headphones 4xd0u47635",168,usd
c100,llm_assisted_initial,1,"[""r713""]",intel i9 9900 3.1ghz 8 core cpu | discount computer needs,,"view and shop for intel i9 9900 3.1ghz 8 core cpu, cpus processors, and many more products at discount computer needs.",718.95,aud
c101,llm_assisted_initial,6,"[""r714"", ""r715"", ""r716"", ""r717"", ""r718"", ""r719""]",the pokemon company pokemon tcg: sword & shield - rebel clash booster pack,nintendo,"rock out with new pokémon! crank it loud and blast the beat—you’ll find rebellion, chaos, and punk attitude galore in the pokémon tcg: sword & shield—rebel clash expansion, loaded with pokémon v including toxtricity v, dubwool v, boltund v, sandaconda v, and more! you’ll also find a handful of pokémon vmax, including the final evolutions of all three first partners, plus copperajah vmax and dragapult vmax. take to the stage and the streets with the sword & shield—rebel clash expansion!",3.99,usd
c102,llm_assisted_initial,1,"[""r725""]",shimano metal disk fren balatası ice-tech j04c,,shimano metal disk fren balatası ice-tech j04cuyumlu modeller:xtr:- br-m9000- br-m9020- br-m987- br-m985xt:- br-m8000- br-m785slx:- br-m675- br-m666deore:- br-m615alfine:- br-s700rennrad:- br-rs785- br-r785,221.00,try
c103,llm_assisted_initial,6,"[""r726"", ""r727"", ""r728"", ""r729"", ""r730"", ""r731""]",daniel wellington dw00100150 classic cornwall rose 36mm black,daniel wellington,"with its distinctive dial and all-black nato strap, the classic black cornwall is a true eye-catcher that embodies the timeless and elegant characteristics of our flagship classic collection. with a sleek design and a captivating essence, this is a modern classic made for every occasion.",239.00,gbp
c104,llm_assisted_initial,29,"[""r738"", ""r739"", ""r740"", ""r741"", ""r742"", ""r743"", ""r834"", ""r835"", ""r836"", ""r837"", ""r838"", ""r839"", ""r1404"", ""r1405"", ""r1406"", ""r1408"", ""r1409"", ""r1506"", ""r1507"", ""r1508"", ""r1509"", ""r1510"", ""r1511"", ""r1734"", ""r1735"", ""r1736"", ""r1737"", ""r1738"", ""r1739""]",manfrotto mvk502055xpro3 video kit with mvh502ah head and 055x3 aluminum tripod,manfrotto,the new xpro fluid head is be the best choice for photographers wanting to start shooting videos to expand their creativity. it’s also the best fit for birdwatchers who are using lightweight scopes to observe wildlife and digiscoping through an additional camera and need fluid heads that move constantly.the xpro fluid head is the only lightweight video head with fluidity selector: this makes it possible to switch between hard and soft fluidity according to the preferred speed of tilt movement and to the kind of gear used. its fluid cartridge settings ensure stable videos can be made with any photo lens. its adaptotechnopolymer and aluminum body make the xpro fluid head extremely easy to carry: weighing a mere 0.7 kg and supporting up to 4 kg of payloadit introduces a new design approach that enhances video head transportability. the new mhxpro-2w comes with the manfrotto 200 pl platethe most widespread photographic platewhich guarantees a quick setup and a quick switch from photo to video.the xpro fluid head is made in italy by manfrotto.specifications attachment: 3/8 inchinchfemale thread attachment typebubble spirit level (no.): 1 numbercenter of gravity: 55 mmcolor: black colorfront tilt: -60° / +90° tilt rangeindependent pan lock: yesindependent tilt lock: yesmaterial: adapto and aluminiumpan bars included (no.): 1 numberpan drag: fluid cartridge with fixed dragpanoramic rotation: 360 degreesplate type quick release - with 1/4-20 inchinchscrewquick release: yessafety payload weight: 4 kgsecondary safety system: yestilt drag: variable (2 steps)weight: 0.76 kgfeaturesportabilitythanks to its lightweight body in adapto technopolymer and aluminumthe new xpro fluid head is extremely easy to carry: it weighs a mere 0.7 kg and supports up to 4 kg of payload. this model introduces a new design approach enhancing video head transportability.versatilitythe lightweight xpro fluid head features a fluidity selector on tilt movement: this makes it possible to switch between hard and soft fluidity according to the preferred speed of tilt movementand to the kind of gear used. the xpro’s fluid cartridge settings make it possible to shoot stable videos with any photo lens.conveniencethe new mhxpro-2w comes with the manfrotto 200 pl plate. this is the most widespread photographic plate in the worldso there’ll be no need to use different plates when switching from photo to video to digiscope. this solution strikes the perfect balance between quick setup and savings: one plate is always attached to your camera ready to be used in any situation with whatever photo or video support you may choose.new qr code technology on manfrotto xpro fluid head packagingthe new xpro fluid head boxes carry a special qr code sticker.this technology helps track useful information such as product and shipping datait will soon enable us to share marketing content (product website linkswarranty infoetc.) with our end-customers. the qr code provides info regarding product origin and destinationfrom the hub to the shelfguaranteeing the product’s authenticity. moreover customers can scan the qr code directly with their smartphones to obtain more information about the product through dedicated web pages. the security label will always guarantee the originality and authenticity of the xpro fluid head.,9.789995999999999e2,eur
c105,llm_assisted_initial,6,"[""r750"", ""r751"", ""r752"", ""r753"", ""r754"", ""r755""]",pokemon: sword & shield 3: darkness ablaze: elite trainer box,,"get ready to make your opponents feel the burn by heating up your pokémon trading card game collection with the sword & shield—darkness ablaze elite trainer box. this box is packed with all sorts of things to enhance your deck and properly maintain your cards. to start with, there are eight pokémon tcg: sword & shield—darkness ablaze booster packs and 65 card sleeves featuring the legendary pokémon eternatus to keep your deck in tip-top shape. you'll also get 45 energy cards so your pokémon can use their moves in battle. useful accessories like dice and acrylic condition markers enhance your gameplay experience, and it all comes packed in a sturdy collector's box. the pokémon tcg: sword & shield—darkness ablaze elite trainer box is a great way to dive into this new expansion!the pokémon tcg: sword & shield—darkness ablaze elite trainer box includes:8 pokémon tcg: sword & shield—darkness ablaze booster packs65 card sleeves featuring eternatus45 pokémon tcg energy cardsa player's guide to the sword & shield—darkness ablaze expansiona pokémon tcg rulebook6 damage-counter dice1 competition-legal coin-flip die2 acrylic condition markersa collector's box to hold everything, with 4 dividers to keep it organizeda code card for the pokémon trading card game online",4.25e1,gbp
c106,llm_assisted_initial,1,"[""r756""]",formula 1 grey/steel ø43 mm ref. waz2011.ba0842,,,1469,eur
